"check_date","time_of_check","currency_name","coin_gecko_url","currency_website","currency_categories","currency_price","market_cap","trading_volume","market_cap_rank","all_time_high","all_time_low","one_day_low","one_day_high","seven_day_low","seven_day_high"
"2022-02-21","18:49:05","Dogecoin","https://www.coingecko.com/en/coins/dogecoin","http://dogecoin.com/","['Meme Tokens', 'BNB Chain Ecosystem', 'Cryptocurrency']","$0.135095","$17,909,801,647","$572,850,205","#13","$0.731578","$0.000086903757","$0.134702","$0.141085","$0.135358","$0.151772"
"2022-02-21","18:49:05","Shiba Inu","https://www.coingecko.com/en/coins/shiba-inu","https://shibatoken.com/","['Meme Tokens', 'BNB Chain Ecosystem']","$0.000025840687","$14,145,692,328","$1,198,411,952","#14","$0.000086158837","$0.000000000056","$0.000025128423","$0.000027510311","$0.000025171603","$0.000032209290"
"2022-02-21","18:49:05","TerraUSD","https://www.coingecko.com/en/coins/terra-usd","https://terra.money","['Terra Ecosystem', 'Seigniorage', 'USD Stablecoin', 'Stablecoins']","$1.00","$12,168,171,666","$373,225,772","#15","$1.09","$0.857992","$0.995411","$1.01","$0.999517","$1.01"
"2022-02-21","18:49:05","Polygon","https://www.coingecko.com/en/coins/polygon","https://polygon.technology/","['Moonbeam Ecosystem', 'Moonriver Ecosystem', 'Polygon Ecosystem', 'BNB Chain Ecosystem', 'Smart Contract Platform']","$1.49","$10,193,729,712","$1,087,794,787","#16","$2.92","$0.003143762979","$1.47","$1.61","$1.47","$1.86"
"2022-02-21","18:49:05","Cronos","https://www.coingecko.com/en/coins/cronos","https://www.crypto.com/en/chain","['Centralized Exchange Token (CEX)', 'Cosmos Ecosystem', 'Exchange-based Tokens']","$0.400707","$10,134,288,052","$125,707,932","#17","$0.965407","$0.012119597670","$0.392855","$0.421344","$0.394860","$0.502187"
"2022-02-21","18:49:05","Wrapped Bitcoin","https://www.coingecko.com/en/coins/wrapped-bitcoin","https://www.wbtc.network/","['Moonbeam Ecosystem', 'Moonriver Ecosystem', 'Arbitrum Ecosystem', 'Fantom Ecosystem', 'Gnosis Chain Ecosystem', 'Polygon Ecosystem', 'Avalanche Ecosystem', 'Wrapped-Tokens', 'Tokenized BTC']","$37,843.42","$9,937,371,368","$270,619,996","#18","$70,643.40","$3,139.17","$37,451.10","$39,446.11","$37,594.07","$44,552.36"
"2022-02-21","18:49:05","Dai","https://www.coingecko.com/en/coins/dai","https://makerdao.com/","['Moonbeam Ecosystem', 'Moonriver Ecosystem', 'Arbitrum Ecosystem', 'Fantom Ecosystem', 'Near Protocol Ecosystem', 'Polygon Ecosystem', 'Avalanche Ecosystem', 'BNB Chain Ecosystem', 'USD Stablecoin', 'Decentralized Finance (DeFi)', 'Stablecoins']","$1.00","$9,765,792,815","$336,470,282","#19","$1.22","$0.903243","$0.995286","$1.01","$0.998369","$1.00"
"2022-02-21","18:49:05","Litecoin","https://www.coingecko.com/en/coins/litecoin","https://litecoin.org","['Cryptocurrency']","$108.17","$7,545,663,314","$652,128,123","#20","$410.26","$1.15","$107.76","$114.55","$108.02","$131.73"
"2022-02-21","18:49:05","Cosmos","https://www.coingecko.com/en/coins/cosmos","http://cosmos.network/","['Cosmos Ecosystem', 'BNB Chain Ecosystem', 'Cryptocurrency']","$25.25","$7,299,463,812","$616,955,473","#21","$44.45","$1.16","$25.16","$27.28","$25.24","$30.47"
"2022-02-21","18:49:05","Chainlink","https://www.coingecko.com/en/coins/chainlink","https://chain.link/","['Cardano Ecosystem', 'Arbitrum Ecosystem', 'Fantom Ecosystem', 'Gnosis Chain Ecosystem', 'Near Protocol Ecosystem', 'Polygon Ecosystem', 'Avalanche Ecosystem', 'Solana Ecosystem', 'BNB Chain Ecosystem', 'Polkadot Ecosystem', 'Oracle', 'Decentralized Finance (DeFi)', 'Smart Contract Platform', 'Infrastructure', 'Business Services']","$14.14","$6,609,000,562","$575,385,743","#22","$52.70","$0.148183","$14.09","$15.31","$14.15","$17.35"
